word,true_stem,stem
ꯄꯟꯂꯣꯟ,ꯄꯟ
ꯏꯟꯅꯥ,ꯏꯟ
ꯑꯃꯅꯤ,ꯃ
ꯍꯥꯏꯅꯥ,ꯍꯥꯏ
ꯈꯪꯅꯩ,ꯈꯪ
ꯃꯁꯤꯒꯤ,ꯁꯤ
ꯁꯤꯝꯂꯗꯤ,ꯁꯤꯝ
ꯈꯪꯅꯔꯤꯕꯅꯤ,ꯈꯪ
ꯑꯁꯤꯒꯨꯝꯕꯥ,ꯁꯤ
ꯄꯣꯠꯁꯛ,ꯄꯣꯠ
ꯃꯆꯥꯁꯤꯡ,ꯆꯥ
ꯇꯣꯉꯥꯟ,ꯇꯣ
ꯇꯣꯉꯥꯟꯕꯥ,ꯇꯣ
ꯃꯑꯣꯡꯗꯥ,ꯑꯣꯡ
ꯑꯣꯏꯔꯛꯄꯥ,ꯑꯣꯏ
ꯑꯆꯝꯕꯥ,ꯆꯝ
ꯊꯧꯗꯣꯛ,ꯊꯧ
ꯑꯃꯗꯤ,ꯃ
ꯑꯣꯢꯔꯣꯢ,ꯑꯣꯏ
ꯂꯩꯕꯥꯛ,ꯂꯩ
ꯑꯁꯤꯗꯥ,ꯁꯤ
ꯈꯨꯃꯥꯡ,ꯈꯨ
ꯆꯥꯎꯁꯤꯜꯂꯛꯄꯥ,ꯆꯥꯎ
ꯅꯧꯅꯥ,ꯅꯧ
ꯄꯨꯊꯣꯛꯂꯛꯄꯥ,ꯄꯨ
ꯄꯣꯠꯁꯛꯁꯤꯡꯅꯥ,ꯄꯣꯠ
ꯑꯁꯤꯒꯤ,ꯁꯤ
ꯃꯆꯥꯛ,ꯆꯥꯛ
ꯁꯦꯝꯕꯗꯥ,ꯁꯦꯝ
ꯌꯥꯝꯅꯥ,ꯌꯥꯝ
ꯃꯇꯦꯡ,ꯇꯦꯡ
ꯄꯥꯡꯏ,ꯄꯥꯡ
ꯃꯇꯥꯡꯗꯥ,ꯇꯥꯡ
ꯍꯥꯏꯔꯛꯇꯕꯥ,ꯍꯥꯏ
ꯌꯥꯗꯕꯥ,ꯌꯥ
ꯑꯃꯣꯠꯄꯥ,ꯃꯣꯠ
ꯍꯥꯏꯕꯁꯤꯅꯤ,ꯍꯥꯏ
ꯀꯩꯗꯧꯉꯩꯗꯥ,ꯀꯩ
ꯃꯣꯠꯍꯟꯒꯗꯕꯅꯤ,ꯃꯣꯠ
ꯃꯁꯤꯗꯤ,ꯁꯤ
ꯑꯩ,ꯑꯩ
ꯍꯦꯟꯅꯥ,ꯍꯦꯟ
ꯈꯪꯕꯥ,ꯈꯪ
ꯊꯧꯗꯥꯡꯅꯤ,ꯊꯧ
ꯃꯌꯨꯝꯗꯥ,ꯌꯨꯝ
ꯁꯤꯖꯤꯟꯅꯔꯤꯕꯥ,ꯁꯤ
ꯄꯣꯠꯂꯝꯁꯤꯡ,ꯄꯣꯠ
ꯇꯨꯡꯁꯤꯟꯕꯥ,ꯇꯨꯡ
ꯄꯣꯠꯂꯝꯁꯤꯡꯗꯥ,ꯄꯣꯠ
ꯃꯣꯠꯍꯟꯗꯅꯥ,ꯃꯣꯠ
ꯊꯝꯕꯥ,ꯊꯝ
ꯍꯥꯏꯕꯁꯤ,ꯍꯥꯏ
ꯇꯥꯏꯕꯪ,ꯇꯥꯏ,
ꯃꯩꯇꯩꯂꯣꯟꯒꯤ,ꯃꯩ
ꯄꯥꯝꯕꯤꯁꯤꯡꯒꯤ,ꯄꯥꯝ
ꯏꯕ,ꯏ
ꯅꯣꯛꯄꯥ,ꯅꯣꯛ
ꯃꯇꯧꯁꯤꯡ,ꯇꯧ
ꯑꯩꯗꯤ,ꯑꯩ
ꯇꯧꯔꯕ,ꯇꯧ
ꯄꯥꯝꯕꯤꯅꯤ,ꯄꯥꯝ
ꯅꯍꯥꯛꯅꯥ,ꯍꯥꯛ
ꯀꯗꯥꯏꯗꯥ,ꯀꯗꯥꯏ
ꯀꯩꯗꯧꯔꯕ,ꯀꯩ
ꯑꯁꯤꯅꯥ,ꯁꯤ
ꯑꯃꯝꯕꯥ,ꯃꯝ
ꯃꯌꯥꯏꯗꯥ,ꯌꯥꯏ
ꯉꯥꯡꯂꯤꯕꯥ,ꯉꯥꯡ
ꯅꯤꯡꯊꯤ,ꯅꯤꯡ
ꯅꯤꯡꯊꯧꯅꯤ,ꯅꯤꯡ
ꯃꯍꯥꯛꯅꯥ,ꯍꯥꯛ
ꯃꯗꯨꯗꯤ,ꯗꯨ
ꯄꯥꯝꯕꯤ,ꯄꯥꯝ
ꯅꯤꯡꯊꯤꯅꯥ,ꯅꯤꯡ
ꯂꯣꯏꯅꯕꯔꯥ,ꯂꯣꯏ
ꯁꯤꯡꯅꯥ,ꯁꯤꯡ
ꯃꯇꯧ,ꯇꯧ
ꯈꯪꯗꯕꯔꯥ,ꯈꯪ
ꯈꯪꯗꯣꯛꯅꯥ,ꯈꯪ
ꯂꯩꯕꯒꯤꯗꯃꯛ,ꯂꯩ
ꯇꯣꯉꯥꯟ,ꯇꯣ
ꯎꯠꯂꯤꯕꯅꯤ,ꯎꯠ
ꯄꯥꯝꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ,ꯄꯥꯝ
ꯑꯗꯨꯝ,ꯗꯨꯝ
ꯂꯩ,ꯂꯩ
ꯍꯥꯏꯔꯤꯕꯥ,ꯍꯥꯏ
ꯈꯪꯅꯕꯥ,ꯈꯪ
ꯉꯝꯕꯥ,ꯉꯝ
ꯂꯧꯕꯥ,ꯂꯧ
ꯍꯧꯔꯛꯄꯥ,ꯍꯧ
ꯅꯤꯡꯊꯤꯕꯥ,ꯅꯤꯡ
ꯌꯥꯏꯕꯤ,ꯌꯥꯏ
ꯃꯗꯨꯗꯒꯤ,ꯗꯨ
ꯃꯈꯣꯏꯒꯤ,ꯈꯣꯏ
ꯂꯧꯁꯤꯡꯒꯤ,ꯂꯧ
ꯂꯤꯊꯣꯛꯔꯛꯏ,ꯂꯤ
ꯉꯝꯂꯤꯕꯥ,ꯉꯝ
ꯀꯅꯥ,ꯀꯅꯥ
ꯂꯥꯛꯄꯥ,ꯂꯥꯛ
ꯃꯇꯝꯗꯥ,ꯇꯝ
ꯅꯥꯄꯤꯁꯤꯡ,ꯅꯥ
ꯅꯥꯄꯤ,ꯅꯥ
ꯀꯣꯏꯁꯤꯟꯕꯁꯤꯡꯅꯥ,ꯀꯣꯏ
ꯃꯈꯣꯏꯒꯤꯗꯃꯛ,ꯈꯣꯏ
ꯃꯇꯧꯗꯨ,ꯇꯧ
ꯃꯇꯧꯅꯤ,ꯇꯧ
ꯌꯥꯏ,ꯌꯥꯏ
ꯃꯁꯤ,ꯁꯤ
ꯈꯪꯉꯨ,ꯈꯪ
ꯃꯗꯨꯕꯨ,ꯗꯨ
ꯑꯉꯥꯡꯁꯤꯡꯅꯥ,ꯉꯥꯡ
ꯂꯥꯏꯔꯤꯛ,ꯂꯥꯏ
ꯇꯝꯂꯕꯥ,ꯇꯝ
ꯃꯗꯨꯗꯥ,ꯗꯨ
ꯃꯁꯤꯅꯥ,ꯁꯤ
ꯅꯍꯥꯛꯀꯤ,ꯍꯥꯛ
ꯄꯥꯝꯕꯤꯁꯤꯡ,ꯄꯥꯝ
ꯎꯠꯂꯕꯥ,ꯎꯠ
ꯄꯥꯝꯕꯤꯅꯥ,ꯄꯥꯝ
ꯃꯍꯥꯛꯀꯤ,ꯍꯥꯛ
ꯎꯠꯂꯛꯄꯥ,ꯎꯠ
ꯂꯧꯁꯤꯡ,ꯂꯧ
ꯃꯁꯛ,ꯁꯛ
ꯃꯈꯣꯏꯕꯨ,ꯈꯣꯏ
ꯑꯁꯤꯅꯤ,ꯁꯤ
ꯀꯅꯥꯒꯤꯗꯃꯛ,ꯀꯅꯥ
ꯂꯩꯕꯥ,ꯂꯩ
ꯑꯉꯥꯡꯒꯤ,ꯑꯉꯥꯡ
ꯃꯤꯑꯣꯢꯕꯥꯅꯥ,ꯃꯤ
ꯍꯣꯠꯅꯥꯕꯥ,ꯍꯣꯠ
ꯃꯄꯥꯡ,ꯄꯥꯡ
ꯀꯩꯊꯦꯜ,ꯀꯩ
ꯇꯥꯏ,ꯇꯥꯏ
ꯃꯤꯑꯣꯢꯕꯥ,ꯃꯤ
ꯍꯤꯡꯅꯥꯕꯥꯒꯤꯗꯃꯛ,ꯍꯤꯡ
ꯆꯥꯛꯄ,ꯆꯥꯛ
ꯍꯤꯡꯅꯥꯕꯥ,ꯍꯤꯡ
ꯂꯥꯟꯅꯥ,ꯂꯥꯟ
ꯂꯧ,ꯂꯧ
ꯑꯗꯨꯕꯨ,ꯗꯨ
ꯃꯇꯝ,ꯇꯝ
ꯇꯥꯕꯒꯤ,ꯇꯥ
ꯂꯩꯇꯥꯗꯦ,ꯂꯩ
ꯇꯥꯕꯅꯤ,ꯇꯥ
ꯄꯨꯊꯣꯛꯄꯥ,ꯄꯨ
ꯃꯇꯦꯡꯅꯥ,ꯇꯦꯡ
ꯅꯨꯡꯉꯥꯢꯕꯥ,ꯅꯨꯡ
ꯑꯇꯣꯞꯄꯥ,ꯇꯣꯞ
ꯃꯄꯥꯟ,ꯄꯥꯟ
ꯃꯊꯧꯅꯥ,ꯊꯧ
ꯄꯨꯊꯣꯛꯄꯥ,ꯄꯨ
ꯍꯤꯡꯕꯥ,ꯍꯤꯡ
ꯁꯨꯝꯖꯤꯠ,ꯁꯨꯝ
ꯇꯧꯕꯥ,ꯇꯧ
ꯄꯨꯝꯅꯥꯃꯛ,ꯄꯨꯝ
ꯑꯣꯏꯅꯥ,ꯑꯣꯏ
ꯇꯧꯕꯅꯤ,ꯇꯧ
ꯁꯨꯝꯕꯜ,ꯁꯨꯝ
ꯁꯦꯟꯕ,ꯁꯦꯟ
ꯁꯨꯝ,ꯁꯨꯝ
ꯒꯥꯔꯤ,ꯒꯥ
ꯊꯧꯕꯁꯤꯡꯅꯥ,ꯊꯧ
ꯅꯣꯡꯂꯤꯛ,ꯅꯣꯡ
ꯅꯨꯡꯉꯥꯢꯅꯥ,ꯅꯨꯡ
ꯄꯥꯝꯅꯤ,ꯄꯥꯝ
ꯍꯧꯖꯤꯛ,ꯍꯧ,
ꯄꯨꯟꯁꯤꯒꯤ,ꯄꯨꯟ
ꯄꯥꯡꯂꯒꯥ,ꯄꯥꯡ
ꯈꯟꯒꯠꯄꯥ,ꯈꯟ
ꯂꯩꯅꯥ,ꯂꯩ
ꯑꯄꯤꯛꯄꯥ,ꯄꯤꯛ
ꯋꯥꯔꯤ,ꯋꯥ
ꯏꯃꯥꯒꯤ,ꯃꯥ
ꯃꯄꯣꯛꯀꯨꯝꯕꯥ,ꯄꯣꯛ
ꯃꯇꯝꯒꯤ,ꯇꯝ
ꯃꯇꯨꯡꯏꯟꯅꯥ,ꯇꯨꯡ
ꯃꯇꯤꯛ,ꯇꯤꯛ
ꯆꯥꯕꯥ,ꯆꯥ
ꯀꯪꯂꯥꯄꯥꯔꯛ,ꯀꯪꯂꯥ
ꯏꯪꯊꯕꯥ,ꯏꯪ
ꯏꯆꯥꯁꯥ,ꯆꯥ
ꯀꯪꯂꯥꯄꯥꯔꯛꯇꯥ,ꯀꯪꯂꯥ
ꯂꯩꯔꯤꯕꯃꯈꯩ,ꯂꯩ
ꯂꯩꯔꯤ,ꯂꯩ
ꯊꯥꯖꯩ,ꯊꯥ
ꯑꯩꯈꯣꯢ,ꯑꯩ
ꯂꯣꯏꯅꯃꯛ,ꯂꯣꯏ
ꯋꯥꯔꯤꯁꯤꯡꯒꯤ,ꯋꯥ
ꯄꯥꯎꯈꯨꯝꯅꯤ,ꯄꯥꯎ
ꯈꯟꯒꯠꯂꯤ,ꯈꯟ
ꯀꯣꯏꯊꯣꯛꯄꯥ,ꯀꯣꯏ
ꯅꯨꯄꯤ,ꯅꯨ
ꯍꯥꯏꯕꯥꯁꯤ,ꯍꯥꯏ
ꯅꯨꯄꯤꯁꯤꯡꯒꯤ,ꯅꯨ
ꯃꯔꯣꯛꯀꯤ,ꯔꯣꯛ
ꯂꯃꯥꯏꯗꯥ,ꯂꯃꯥꯏ
ꯆꯤꯟꯊꯤꯕꯥ,ꯆꯤꯟ
ꯄꯨꯊꯣꯛꯂꯤ,ꯄꯨ
ꯑꯩꯈꯣꯢꯒꯤ,ꯑꯩ
ꯃꯁꯥꯒꯤ,ꯁꯥ
ꯄꯥꯎꯇꯥꯛꯅꯥ,ꯄꯥꯎ
ꯃꯄꯨꯡ,ꯄꯨꯡ
ꯑꯩ,ꯑꯩ
ꯄꯥꯝꯃꯤ,ꯄꯥꯝ
ꯐꯥꯍꯟꯕꯥ,ꯐꯥ
ꯈꯨꯗꯤꯡꯒꯤ,ꯈꯨ
ꯄꯥꯡꯂꯤ,ꯄꯥꯡ
ꯑꯩꯈꯣꯢꯗꯒꯤ,ꯑꯩ
ꯄꯥꯝꯂꯤꯕꯥ,ꯄꯥꯝ
ꯉꯝꯒꯅꯤ,ꯉꯝ
ꯂꯝꯕꯤꯗꯥ,ꯂꯝ
ꯅꯪꯒꯤ,ꯅꯪ
ꯍꯧꯗꯣꯛꯄꯥ,ꯍꯧ
ꯅꯨꯡꯁꯤꯖꯩ,ꯅꯨꯡ
ꯅꯪꯕꯨ,ꯅꯪ
ꯂꯥꯛꯈꯤꯅꯤ,ꯂꯥꯛ
ꯑꯃꯗꯥ,ꯑ
ꯂꯃꯥꯏꯁꯤꯡꯒꯤ,ꯂꯃꯥꯏ
ꯃꯔꯛꯇꯥ,ꯔꯛ
ꯈꯣꯝꯖꯤꯟꯒꯅꯤ,ꯈꯣꯝ
ꯁꯦꯟꯅꯕꯤꯕꯥ,ꯁꯦꯟ
ꯄꯨꯝꯅꯃꯛ,ꯄꯨꯝ
ꯆꯠꯄꯥ,ꯆꯠ
ꯃꯔꯤ,ꯔꯤ
ꯅꯨꯡꯁꯤꯕꯥ,ꯅꯨꯡ
ꯉꯥꯛꯄꯥ,ꯉꯥꯛ
ꯅꯨꯡꯁꯤ,ꯅꯨꯡ
ꯂꯣꯏꯅꯕꯥ,ꯂꯣꯏ
ꯍꯥꯛꯆꯥꯡꯅꯥ,ꯍꯥꯛꯆꯥꯡ
ꯄꯨꯟꯅꯥ,ꯄꯨꯟ
ꯂꯩꯕꯅꯤ,ꯂꯩ
ꯈꯣꯝꯖꯤꯟꯒꯅꯤ,ꯈꯣꯝ
ꯈꯣꯝꯖꯤꯟꯕꯥ,ꯈꯣꯝ
ꯏꯃꯥ,ꯃꯥ
ꯅꯪꯕꯨ,ꯅꯪ
ꯃꯥꯏ,ꯃꯥꯏ
ꯆꯩꯕ,ꯆꯩ
ꯁꯥꯒꯩꯅꯤ,ꯁꯥ
ꯑꯗꯨꯉꯩ,ꯗꯨ
ꯁꯦꯝꯕ,ꯁꯦꯝ
ꯄꯣꯊꯣꯛꯅꯤ,ꯄꯣ
ꯄꯥꯜꯂꯤ,ꯄꯥꯜ
ꯁꯅꯥꯐꯝꯗꯥ,ꯁ
ꯑꯗꯨ,ꯗꯨ
ꯑꯁꯨꯝ,ꯁꯨꯝ
ꯑꯗꯨꯒ,ꯗꯨ
ꯅꯁꯨ,ꯁꯨ
ꯄꯣꯛꯄꯥ,ꯄꯣꯛ
ꯄꯥꯒꯗꯕꯥꯅꯤ,ꯄꯥ
ꯄꯥꯏꯕꯥ,ꯄꯥꯏ
ꯅꯄꯥꯗꯅꯤ,ꯅ
ꯊꯗꯕꯥ,ꯊ
ꯄꯥꯜꯂꯤꯕꯅꯤ,ꯄꯥꯜ
ꯃꯥꯏꯊꯕ,ꯃꯥꯏ
ꯁꯥꯏꯗ,ꯁꯥꯏ 
ꯃꯤꯌꯥꯝꯒꯤꯗꯃꯛ,ꯃꯤ
ꯏꯄꯥ,ꯄꯥ
ꯏꯄꯨ,ꯄꯨ
ꯅꯤꯡꯊꯧ,ꯅꯤꯡ
ꯀꯩꯔꯦꯜ,ꯀꯩ
ꯄꯥꯡꯂꯕꯗꯤ,ꯄꯥꯡ
ꯆꯥꯎꯈꯠꯀꯅꯤ,ꯆꯥꯎ
ꯑꯗꯨꯒꯨꯝꯕꯥ,ꯗꯨ
ꯁꯨꯅꯤꯡꯕꯥꯁꯤꯡ,ꯁꯨ
ꯍꯦꯛꯇꯥ,ꯍꯦꯛ
ꯑꯣꯏꯕꯥ,ꯑꯣꯏ
ꯀꯣꯅꯨꯡꯒꯤ,ꯀꯣ
ꯃꯤꯑꯣꯢꯁꯤꯡ,ꯃꯤ
ꯌꯥꯝꯅꯃꯛ,ꯌꯥꯝ
ꯇꯩꯅꯥ,ꯇꯩ
ꯑꯣꯏꯕꯅꯤ,ꯑꯣꯏ
ꯀꯣꯏ,ꯀꯣꯏ
ꯑꯣꯏꯅꯕ,ꯑꯣꯏ
ꯀꯅꯥꯅꯥ,ꯀꯅꯥ
ꯑꯃꯥꯒꯤ,ꯃꯥ
ꯃꯤꯌꯥꯝꯒꯤ,ꯃꯤ
ꯇꯧꯕꯗꯤ,ꯇꯧ
ꯂꯩꯅꯥꯕꯥ,ꯂꯩ
ꯍꯥꯏꯗꯨꯅꯥ,ꯍꯥꯏ
ꯀꯅꯥꯒꯨꯝꯕꯥ,ꯀꯅꯥ
ꯏꯆꯥꯁꯤꯡꯅꯥ,ꯆꯥ
ꯑꯑꯣꯏꯕꯗꯥ,ꯑꯣꯏ
ꯃꯗꯨꯒꯤ,ꯗꯨ
ꯂꯩꯇꯕꯗꯤ,ꯂꯩ
ꯂꯥꯡꯒꯤ,ꯂꯥꯡ
ꯍꯧꯔꯛꯄꯅꯤ,ꯍꯧ
ꯃꯗꯨ,ꯗꯨ
ꯑꯗꯨꯗꯥ,ꯗꯨ
ꯑꯣꯏꯔꯛꯀꯗꯕꯅꯤ,ꯑꯣꯏ
ꯀꯅꯥꯒꯨꯝꯕꯅꯥ,ꯀꯅꯥ
ꯍꯥꯏꯒꯗꯅꯤ,ꯍꯥꯏ
ꯇꯥꯡꯈꯨꯜꯅꯥ,ꯇꯥꯡ
ꯃꯤꯇꯩ,ꯃꯤ
ꯃꯤꯌꯥꯝꯗꯤ,ꯃꯤ
ꯍꯣꯠꯅꯔꯤꯕꯅꯤ,ꯍꯣꯠ
ꯅꯣꯏꯕꯥ,ꯅꯣꯏ
ꯃꯇꯝꯗꯒꯤ,ꯇꯝ
ꯅꯩꯕꯅꯤ,ꯅꯩ
ꯍꯥꯏꯕꯗꯨꯃꯛ,ꯍꯥꯏ
ꯂꯥꯡꯗꯥ,ꯂꯥꯡ
ꯍꯥꯏꯕꯗꯨ,ꯍꯥꯏ
ꯃꯁꯥꯅꯥ,ꯁꯥ
ꯅꯨꯡ,ꯅꯨꯡ
ꯍꯥꯏꯕꯅꯤ,ꯍꯥꯏ
ꯃꯁꯤꯗꯥ,ꯁꯤ
ꯃꯤꯌꯥꯝ,ꯃꯤ
ꯃꯇꯝꯗꯥꯗꯤ,ꯇꯝ
ꯂꯥꯏꯕꯥ,ꯂꯥꯏ
ꯀꯣꯟꯅꯕꯅꯤ,ꯀꯣꯟ
ꯇꯥꯏꯅꯥꯕꯥ,ꯇꯥꯏ
ꯍꯥꯏꯅꯤ,ꯍꯥꯏ
ꯂꯩꯕꯥꯗꯨꯒꯤ,ꯂꯩ
ꯇꯩꯕꯅꯤ,ꯇꯩ
ꯃꯗꯨꯒꯨꯝꯕꯥ,ꯗꯨ
ꯃꯤꯑꯣꯢ,ꯃꯤ
ꯑꯃꯥꯒꯨꯝꯅꯥ,ꯑꯃꯥ
ꯃꯇꯝꯗꯤ,ꯇꯝ
ꯄꯥꯟꯕꯅꯤ,ꯄꯥꯟ
ꯃꯁꯥ,ꯁꯥ
ꯂꯥꯏꯒꯤ,ꯂꯥꯏ
ꯂꯩꯔꯛꯄꯥ,ꯂꯩ
ꯍꯦꯛꯇꯥꯂꯩꯕꯥ,ꯍꯦꯛ
ꯌꯥꯏꯕꯥ,ꯌꯥꯏ
ꯍꯧꯔꯦ,ꯍꯧ
ꯄꯥꯅꯕꯥ,ꯄꯥ
ꯁꯦꯟꯅꯕꯥ,ꯁꯦꯟ
ꯊꯣꯏꯕꯥ,ꯊꯣꯏ
ꯂꯥꯏꯒꯨꯝꯕꯥ,ꯂꯥꯏ
ꯀꯕꯣꯛ,ꯀꯕꯣꯛ
ꯍꯧꯖꯤꯛꯀꯤ,ꯍꯧ
ꯑꯣꯏꯕ,ꯑꯣꯏ
ꯄꯥꯎꯗꯝ,ꯄꯥꯎ
ꯃꯇꯝꯗ,ꯇꯝ
ꯊꯣꯛꯈꯤꯕ,ꯊꯣꯛ
ꯏꯝꯐꯥꯜ,ꯏꯝꯐꯥꯜ
ꯀꯝꯗꯧꯔꯤꯒꯦ,ꯀꯝ
ꯆꯦꯅ,ꯆꯦ
ꯄꯜꯂꯕ,ꯄꯜ
ꯀꯥꯟꯅꯕꯗꯥ,ꯀꯥꯟ
ꯅꯥꯒꯔꯤꯛꯁꯤꯡ,ꯅꯥ
ꯆꯟꯅꯗꯕꯥ,ꯆꯟ
ꯃꯅꯤ,ꯅꯤ
ꯄꯥꯎꯆꯦ,ꯄꯥꯎ,
ꯑꯃꯗꯒꯤ,ꯃ
ꯄꯥꯎ,ꯄꯥꯎ
ꯐꯪꯂꯤꯕꯥ,ꯐꯪ
ꯐꯥꯕꯥ,ꯐꯥ
ꯊꯧꯔꯥꯡꯁꯤꯡ,ꯊꯧ
ꯊꯣꯛꯈꯤꯕꯥ,ꯊꯣꯛ
ꯃꯈꯥ,ꯈꯥ
ꯇꯥꯅꯥ,ꯇꯥ
ꯂꯥꯛꯂꯤꯕꯥ,ꯂꯥꯛ
ꯆꯤꯡꯅꯒꯅꯤ,ꯆꯤꯡ
ꯃꯇꯨꯡꯗꯥ,ꯇꯨꯡ
ꯂꯥꯛꯀꯗꯕꯥ,ꯂꯥꯛ
ꯄꯥꯎꯖꯦꯜ,ꯄꯥꯎ
ꯄꯤꯔꯤꯕꯅꯤ,ꯄꯤ
ꯊꯧꯑꯣꯡ,ꯊꯧ
ꯊꯣꯛꯍꯜꯂꯦ,ꯊꯣꯛ
ꯃꯐꯝ,ꯐꯝ
ꯂꯩꯔꯤꯕꯥ,ꯂꯩ
ꯃꯤꯑꯣꯢꯁꯤꯡꯅꯥ,ꯃꯤ
ꯆꯦꯛꯁꯤꯟꯅꯥ,ꯆꯦꯛ
ꯄꯤꯔꯤ,ꯄꯤ
ꯃꯔꯝ,ꯔꯝ
ꯑꯣꯏꯗꯨꯅꯥ,ꯑꯣꯏ
ꯂꯝꯗꯝ,ꯂꯝ
ꯐꯤꯚꯝ,ꯐꯤ
ꯀꯥꯏꯍꯟꯗꯅꯥ,ꯀꯥꯏ
ꯊꯝꯅꯥꯕꯥ,ꯊꯝ
ꯍꯣꯠꯅꯒꯗꯕꯅꯤ,ꯍꯣꯠ
ꯂꯥꯎꯊꯣꯛꯈꯤ,ꯂꯥꯎ
ꯑꯣꯏꯔꯒꯥ,ꯑꯣꯏ
ꯌꯨꯝꯊꯪꯅꯕꯥ,ꯌꯨꯝ
ꯂꯝꯗꯝꯁꯤꯡꯗꯥ,ꯂꯝ
ꯋꯥꯈꯜ,ꯋꯥ
ꯉꯥꯛ,ꯉꯥꯛ
ꯁꯦꯟꯅꯕꯥ,ꯁꯦꯟ
ꯊꯧꯃꯤꯁꯤꯡꯅꯥ,ꯊꯧ
ꯂꯩꯔꯦ,ꯂꯩ
ꯑꯣꯢꯔꯦ,ꯑꯣꯢ
ꯉꯥꯛꯇꯨꯅꯥ,ꯉꯥꯛ
ꯐꯒꯠꯍꯟꯅꯥꯕꯥ,ꯐ
ꯍꯣꯠꯅꯕꯗꯥ,ꯍꯣꯠ
ꯃꯤꯌꯥꯝꯅꯥ,ꯃꯤ
ꯄꯥꯡꯅꯕꯥ,ꯄꯥꯡ
ꯄꯤꯈꯤ,ꯄꯤ
ꯉꯥꯛꯄ,ꯉꯥꯛ
ꯃꯤꯁꯤꯡꯅꯥ,ꯃꯤ
ꯍꯤꯛꯂ,ꯍꯤꯛ
ꯃꯈꯥꯗꯥ,ꯈꯥ
ꯄꯤꯔꯤꯕꯥ,ꯄꯤ
ꯑꯁꯤꯗꯒꯤ,ꯁꯤ
ꯄꯥꯎꯁꯤꯡ,ꯄꯥꯎ
ꯃꯩꯇꯩ,ꯃꯩ
ꯃꯌꯦꯛ,ꯌꯦꯛ
ꯍꯟꯗꯣꯛꯄꯅꯤ,ꯍꯟ
ꯂꯩꯕꯥꯛ,ꯂꯩ
ꯄꯣꯛꯄꯥ,ꯄꯣꯛ
ꯐꯣꯡꯕꯥ,ꯐꯣꯡ
ꯈꯨꯔꯥꯏ,ꯈꯨ
ꯊꯣꯡꯕ,ꯊꯣꯡ
ꯂꯩꯀꯥꯏ,ꯂꯩ
ꯂꯩꯃꯥꯔꯦꯜꯁꯤꯡꯒꯤ,ꯂꯩ
ꯁꯩꯁꯥꯛꯀꯣꯜ,ꯁꯩ
ꯇꯧꯔꯕꯥ,ꯇꯧ
ꯂꯨꯞꯅꯥ,ꯂꯨꯞ
ꯅꯨꯃꯤꯠꯇꯥ,ꯅꯨ
ꯊꯧꯔꯝ,ꯊꯧ
ꯄꯥꯡꯊꯣꯛꯈ꯭ꯔꯦ,ꯄꯥꯡ
ꯂꯣꯛꯇꯥꯛꯅꯥ,ꯂꯣꯛ
ꯁꯥꯁꯟ,ꯁꯥ
ꯑꯣꯖꯥꯁꯤꯡ,ꯑꯣ
ꯂꯧꯅꯕꯒꯤꯗꯃꯛ,ꯂꯧ
ꯄꯥꯡꯊꯣꯛꯀꯅꯤ,ꯄꯥꯡ
ꯎꯊꯣꯛꯈ꯭ꯔꯦ,ꯊꯣꯛ
ꯐꯥꯎꯕꯥ,ꯐꯥꯎ
ꯌꯥꯒꯅꯤ,ꯌꯥ
ꯁꯤꯡꯒꯤ,ꯁꯤꯡ
ꯁꯨꯕꯥ,ꯁꯨ
ꯄꯔꯤ,ꯄ
ꯆꯥꯖꯤꯛ,ꯆꯥ
ꯁꯖꯤꯡ,ꯁ
ꯍꯤꯗꯥ,ꯍꯤ
ꯍꯣꯡꯗꯣꯛꯈ꯭ꯔꯦ,ꯍꯣꯡ
ꯂꯥꯏꯊꯣꯛꯄꯥ,ꯂꯥꯏ
ꯄꯥꯎꯁꯤꯡꯗꯥ,ꯄꯥꯎ
ꯂꯪꯊꯕ,ꯂꯪ
ꯀꯣꯅꯨꯡ,ꯀꯣ
ꯃꯌꯥ,ꯌꯥ
ꯂꯩꯀꯥꯏꯗꯥ,ꯂꯩ
ꯌꯨꯝ,ꯌꯨꯝ
ꯌꯣꯟꯖꯥꯔꯤ,ꯌꯣꯟ
ꯄꯜꯅꯤ,ꯄꯜ
ꯀꯥꯎꯟꯁꯤꯜ,ꯀꯥꯎꯟ
ꯋꯥꯔꯗ,ꯋꯥ
ꯅꯪꯗꯥ,ꯅꯪ
ꯂꯧꯐꯝ,ꯂꯧ
ꯑꯃꯁꯨ,ꯑ
ꯌꯣꯟꯅꯕꯥ,ꯌꯣꯟ
ꯌꯥꯎꯔꯤ,ꯌꯥꯎ
ꯃꯁꯤꯒꯥ,ꯁꯤ
ꯂꯣꯏꯅꯅꯥ,ꯂꯣꯏ
ꯊꯥꯜꯂꯨ,ꯊꯥꯜ
ꯃꯩꯔꯤꯛ,ꯃꯩ
ꯑꯥꯁꯤꯗꯤ,ꯁꯤ
ꯀꯥꯗ,ꯀꯥ
ꯃꯥꯔꯤꯅꯤ,ꯃꯥ
ꯃꯔꯟ,ꯔꯟ
ꯄꯣꯁꯇ,ꯄꯣꯁ
ꯄꯥꯕꯨꯡ,ꯄꯥ
ꯁꯤꯡꯒꯤ,ꯁꯤꯡ
