word,true_stem,stem
ꯁꯛꯊꯤꯕꯥ,ꯁꯛ,ꯁꯛ
ꯃꯁꯥꯅꯤ,ꯁꯥ,ꯁꯥ
ꯍꯥꯎꯔꯕꯥ,ꯍꯥꯎ,ꯍꯥꯎ
ꯋꯥꯔꯤꯁꯤꯡ,ꯋꯥ,ꯋꯥ
ꯀꯨꯏꯅꯥ,ꯀꯨꯏ,ꯀꯨꯏ
ꯂꯩꯔꯛꯂꯕꯥ,ꯂꯩ,ꯂꯩ
ꯄꯥꯝꯅꯕꯥ,ꯄꯥꯝ,ꯄꯥꯝ
ꯄꯨꯝꯅꯃꯛꯅꯥ,ꯄꯨꯝ,ꯄꯨꯝ
ꯑꯣꯡꯒꯅꯤ,ꯑꯣꯡ,ꯑꯣꯡ
ꯂꯝꯕꯤꯁꯤꯡꯗꯥ,ꯂꯝ,ꯂꯝ
ꯑꯁꯪꯕꯥ,ꯁꯪ,ꯁꯪ
ꯌꯦꯡꯕꯗꯥ,ꯌꯦꯡ,ꯌꯦꯡ
ꯃꯁꯤꯕꯨ,ꯁꯤ,ꯁꯤ
ꯌꯦꯡꯕꯥ,ꯌꯦꯡ,ꯌꯦꯡ
ꯄꯥꯝꯒꯅꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯃꯑꯣꯡꯅꯤ,ꯑꯣꯡ,ꯑꯣꯡ
ꯄꯦꯅꯥ,ꯄꯦ,ꯄꯦ
ꯈꯨꯠ,ꯈꯨꯠ,ꯈꯨꯠ
ꯆꯦ,ꯆꯦ,ꯆꯦ
ꯄꯣꯠꯂꯝꯅꯤ,ꯄꯣꯠ,ꯄꯣꯠ
ꯀꯨꯝꯍꯩ,ꯀꯨꯝ,ꯀꯨꯝ
ꯂꯥꯢꯔꯣꯢ,ꯂꯥꯏ,ꯂꯥꯢ
ꯄꯨꯊꯣꯛꯄꯗꯥ,ꯄꯨ,ꯄꯨ
ꯄꯥꯡꯕꯥ,ꯄꯥꯡ,ꯄꯥꯡ
ꯄꯨꯊꯣꯛꯂꯤꯕꯥ,ꯄꯨ,ꯄꯨ
ꯄꯦꯅꯥꯒꯤ,ꯄꯦ,ꯄꯦ
ꯑꯔꯤꯕꯥ,ꯔꯤ,ꯔꯤ
ꯑꯁꯥꯅꯕꯥ,ꯁꯥ,ꯁꯥ
ꯊꯥꯡꯁꯤꯡꯗꯥ,ꯊꯥꯡ,ꯊꯥꯡ
ꯏꯁꯩꯃꯌꯦꯛ,ꯁꯩ,ꯁꯩ
ꯈꯔꯥ,ꯈ,ꯈ
ꯄꯥꯎꯅꯥ,ꯄꯥꯎ,ꯄꯥꯎ
ꯁꯩꯊꯕ,ꯁꯩ,ꯁꯩ
ꯇꯝꯅꯕꯒꯤꯗꯃꯛ,ꯇꯝ,ꯇꯝ
ꯍꯦꯟꯅꯕꯒꯤ,ꯍꯦꯟ,ꯍꯦꯟ
ꯌꯦꯠꯅꯕꯥ,ꯌꯦꯠ,ꯌꯦꯠ
ꯂꯝꯊꯣꯛꯄꯥ,ꯂꯝ,ꯂꯝ
ꯌꯦꯅꯤꯡꯊ,ꯌꯦ,ꯌꯦ
ꯄꯥꯎꯅꯥꯕꯨ,ꯄꯥꯎ,ꯄꯥꯎ
ꯊꯥꯎꯔꯥꯡꯗꯥ,ꯊꯥꯎ,ꯊꯥꯎ
ꯊꯥꯡꯒꯤ,ꯊꯥꯡ,ꯊꯥꯡ
ꯀꯨꯝꯖꯥꯒꯤ,ꯀꯨꯝ,ꯀꯨꯝ
ꯆꯠꯄꯥꯒꯤ,ꯆꯠ,ꯆꯠ
ꯈꯨꯗꯣꯜꯅꯥ,ꯈꯨ,ꯈꯨ
ꯈꯪꯕꯗꯒꯤ,ꯈꯪ,ꯈꯪ
ꯏꯔꯩꯃ,ꯔꯩ,ꯔꯩ
ꯏꯅꯥꯎꯕꯥ,ꯅꯥꯎ,ꯅꯥꯎ
ꯇꯥꯔꯥ,ꯇꯥ,ꯇꯥ
ꯈꯣꯡꯅꯥ,ꯈꯣꯡ,ꯈꯣꯡ
ꯀꯨꯝꯖꯥꯒꯤꯗꯃꯛ,ꯀꯨꯝ,ꯀꯨꯝ
ꯏꯄꯥꯗꯥ,ꯄꯥ,ꯄꯥ
ꯄꯦꯅꯥꯁꯤꯕꯨ,ꯄꯦ,ꯄꯦ
ꯏꯁꯩꯗꯥ,ꯁꯩ,ꯁꯩ
ꯉꯥꯛꯇꯅꯤ,ꯉꯥꯛ,ꯉꯥꯛ
ꯄꯥꯎꯇꯥꯛꯅꯤ,ꯄꯥꯎ,ꯄꯥꯎ
ꯈꯨꯅꯥꯢꯁꯤꯡꯗꯥ,ꯈꯨꯠ,ꯈꯨ
ꯂꯨꯒꯥ,ꯂꯨ,ꯂꯨ
ꯅꯥꯎꯌꯣꯛꯄꯥ,ꯅꯥꯎ,ꯅꯥꯎꯌꯣꯛ
ꯑꯌꯣꯛ,ꯌꯣꯛ,ꯌꯣꯛ
ꯑꯁꯦꯡꯅꯥ,ꯁꯦꯡ,ꯁꯦꯡ
ꯇꯥꯟꯊꯣꯛꯅꯕꯥ,ꯇꯥꯟ,ꯇꯥꯟ
ꯑꯌꯦꯝꯕꯥ,ꯌꯦꯝ,ꯌꯦꯝ
ꯀꯣꯝꯅꯥ,ꯀꯣꯝ,ꯀꯣꯝ
ꯅꯥꯎꯅꯥ,ꯅꯥꯎ,ꯅꯥꯎ
ꯀꯣꯝꯅꯕꯥ,ꯀꯣꯝ,ꯀꯣꯝ
ꯈꯨꯠꯁꯥꯗꯥ,ꯈꯨꯠ,ꯈꯨꯠ
ꯃꯇꯝꯄꯨꯝꯕꯥ,ꯇꯝ,ꯇꯝ
ꯇꯝꯅꯕꯥꯗꯥ,ꯇꯝ,ꯇꯝ
ꯃꯁꯥꯗꯥ,ꯁꯥ,ꯁꯥ
ꯇꯝꯅꯕꯒꯤ,ꯇꯝ,ꯇꯝ
ꯈꯪꯗꯕꯥ,ꯈꯪ,ꯈꯪ
ꯑꯄꯨꯅꯕꯥꯁꯤꯡꯗꯥ,ꯄꯨ,ꯄꯨ
ꯊꯥꯎꯔꯥꯡ,ꯊꯥꯎ,ꯊꯥꯎ
ꯈꯟꯅꯕꯒꯤꯗꯃꯛ,ꯈꯟ,ꯈꯟ
ꯃꯤꯑꯣꯢꯕꯒꯤ,ꯃꯤ,ꯃꯤ
ꯄꯨꯟꯁꯤꯗꯥ,ꯄꯨꯟ,ꯄꯨꯟ
ꯏꯁꯤꯡꯒꯤ,ꯏ,ꯁꯤꯡ
ꯃꯊꯧ,ꯊꯧ,ꯊꯧ
ꯇꯥꯕꯥ,ꯇꯥ,ꯇꯥ
ꯍꯥꯏꯕꯁꯤꯗꯤ,ꯍꯥꯏ,ꯍꯥꯏ
ꯃꯥꯡꯗꯥ,ꯃꯥꯡ,ꯃꯥꯡ
ꯈꯪꯅꯔꯕꯥ,ꯈꯪ,ꯈꯪ
ꯋꯥꯐꯝꯅꯤ,ꯋꯥ,ꯋꯥ
ꯑꯩꯈꯣꯢꯅꯥ,ꯑꯩ,ꯑꯩ
ꯅꯣꯡꯃꯗꯥ,ꯅꯣꯡ,ꯅꯣꯡ
ꯆꯥꯔꯤꯕꯥ,ꯆꯥ,ꯆꯥ
ꯆꯤꯟꯖꯥꯛꯁꯤꯡꯗꯒꯤꯁꯨ,ꯆꯤꯟ,ꯆꯤꯟ
ꯏꯁꯤꯡ,ꯏ,ꯁꯤꯡ
ꯐꯪꯏ,ꯐꯪ,ꯐꯪꯏ
ꯑꯗꯨꯒꯥ,ꯗꯨ,ꯗꯨ
ꯊꯛꯇꯅꯥ,ꯊꯛ,ꯊꯛ
ꯃꯤꯑꯣꯢꯕꯅꯥ,ꯃꯤ,ꯃꯤ
ꯄꯨꯟꯁꯤ,ꯄꯨꯟ,ꯄꯨꯟ
ꯍꯤꯡꯕꯌꯥꯗꯦ,ꯍꯤꯡ,ꯍꯤꯡ
ꯍꯤꯡꯗꯕꯌꯥꯗꯦ,ꯍꯤꯡ,ꯍꯤꯡ
ꯍꯥꯏꯕꯁꯤꯁꯨ,ꯍꯥꯏ,ꯍꯥꯏ
ꯑꯆꯨꯝꯕꯅꯤ,ꯆꯨꯝ,ꯆꯨꯝ
ꯊꯛꯅꯕꯥ,ꯊꯛ,ꯊꯛ
ꯏꯁꯤꯡꯗꯨ,ꯏ,ꯁꯤꯡ
ꯇꯧꯔꯒꯥ,ꯇꯧ,ꯇꯧ
ꯌꯦꯡꯂꯕꯗꯤ,ꯌꯦꯡ,ꯌꯦꯡ
ꯑꯗꯨꯒꯤ,ꯗꯨ,ꯗꯨ
ꯃꯅꯨꯡꯗꯥ,ꯅꯨꯡ,ꯅꯨꯡ
ꯑꯃꯁꯨꯡ,ꯑ,ꯃꯁꯨꯡ
ꯍꯥꯏꯕꯥ,ꯍꯥꯏ,ꯍꯥꯏ
ꯑꯅꯤꯅꯥ,ꯅꯤ,ꯅꯤ
ꯌꯥꯅꯕꯥ,ꯌꯥ,ꯌꯥ
ꯑꯗꯨ,ꯗꯨ,ꯗꯨ
ꯁꯦꯝꯃꯤ,ꯁꯦꯝ,ꯁꯦꯝ
ꯈꯪꯒꯅꯤ,ꯈꯪ,ꯈꯪ
ꯑꯁꯨꯝꯅꯥ,ꯁꯨꯝ,ꯁꯨꯝ
ꯑꯁꯤꯕꯨ,ꯁꯤ,ꯁꯤ
ꯃꯇꯨꯡ,ꯇꯨꯡ,ꯇꯨꯡ
ꯏꯟꯅꯥ,ꯏꯟ,ꯏꯟ
ꯑꯃꯅꯤ,ꯃ,ꯃ
ꯍꯥꯏꯅꯥ,ꯍꯥꯏ,ꯍꯥꯏ
ꯈꯪꯅꯩ,ꯈꯪ,ꯈꯪ
ꯃꯁꯤꯒꯤ,ꯁꯤ,ꯁꯤ
ꯁꯤꯝꯂꯗꯤ,ꯁꯤꯝ,ꯁꯤꯝ
ꯈꯪꯅꯔꯤꯕꯅꯤ,ꯈꯪ,ꯈꯪ
ꯑꯁꯤꯒꯨꯝꯕꯥ,ꯁꯤ,ꯁꯤ
ꯄꯣꯠꯁꯛ,ꯄꯣꯠ,ꯄꯣꯠ
ꯃꯆꯥꯁꯤꯡ,ꯆꯥ,ꯆꯥ
ꯇꯣꯉꯥꯟ,ꯇꯣ,ꯇꯣ
ꯇꯣꯉꯥꯟꯕꯥ,ꯇꯣ,ꯇꯣ
ꯃꯑꯣꯡꯗꯥ,ꯑꯣꯡ,ꯑꯣꯡ
ꯑꯣꯏꯔꯛꯄꯥ,ꯑꯣꯏ,ꯑꯣꯏ
ꯑꯆꯝꯕꯥ,ꯆꯝ,ꯆꯝ
ꯊꯧꯗꯣꯛ,ꯊꯧ,ꯊꯧ
ꯑꯃꯗꯤ,ꯃ,ꯃ
ꯑꯣꯢꯔꯣꯢ,ꯑꯣꯏ,ꯑꯣꯢ
ꯂꯩꯕꯥꯛ,ꯂꯩ,ꯂꯩ
ꯑꯁꯤꯗꯥ,ꯁꯤ,ꯁꯤ
ꯈꯨꯃꯥꯡ,ꯈꯨ,ꯈꯨ
ꯆꯥꯎꯁꯤꯜꯂꯛꯄꯥ,ꯆꯥꯎ,ꯆꯥꯎ
ꯅꯧꯅꯥ,ꯅꯧ,ꯅꯧ
ꯄꯨꯊꯣꯛꯂꯛꯄꯥ,ꯄꯨ,ꯄꯨ
ꯄꯣꯠꯁꯛꯁꯤꯡꯅꯥ,ꯄꯣꯠ,ꯄꯣꯠ
ꯑꯁꯤꯒꯤ,ꯁꯤ,ꯁꯤ
ꯃꯆꯥꯛ,ꯆꯥꯛ,ꯆꯥꯛ
ꯁꯦꯝꯕꯗꯥ,ꯁꯦꯝ,ꯁꯦꯝ
ꯌꯥꯝꯅꯥ,ꯌꯥꯝ,ꯌꯥꯝ
ꯃꯇꯦꯡ,ꯇꯦꯡ,ꯇꯦꯡ
ꯄꯥꯡꯏ,ꯄꯥꯡ,ꯄꯥꯡꯏ
ꯃꯇꯥꯡꯗꯥ,ꯇꯥꯡ,ꯇꯥꯡ
ꯍꯥꯏꯔꯛꯇꯕꯥ,ꯍꯥꯏ,ꯍꯥꯏ
ꯌꯥꯗꯕꯥ,ꯌꯥ,ꯌꯥ
ꯑꯃꯣꯠꯄꯥ,ꯃꯣꯠ,ꯃꯣꯠ
ꯍꯥꯏꯕꯁꯤꯅꯤ,ꯍꯥꯏ,ꯍꯥꯏ
ꯀꯩꯗꯧꯉꯩꯗꯥ,ꯀꯩ,ꯀꯩ
ꯃꯣꯠꯍꯟꯒꯗꯕꯅꯤ,ꯃꯣꯠ,ꯃꯣꯠ
ꯃꯁꯤꯗꯤ,ꯁꯤ,ꯁꯤ
ꯑꯩ,ꯑꯩ,ꯑꯩ
ꯍꯦꯟꯅꯥ,ꯍꯦꯟ,ꯍꯦꯟ
ꯈꯪꯕꯥ,ꯈꯪ,ꯈꯪ
ꯊꯧꯗꯥꯡꯅꯤ,ꯊꯧ,ꯊꯧ
ꯃꯌꯨꯝꯗꯥ,ꯌꯨꯝ,ꯌꯨꯝ
ꯁꯤꯖꯤꯟꯅꯔꯤꯕꯥ,ꯁꯤ,ꯁꯤ
ꯄꯣꯠꯂꯝꯁꯤꯡ,ꯄꯣꯠ,ꯄꯣꯠ
ꯇꯨꯡꯁꯤꯟꯕꯥ,ꯇꯨꯡ,ꯇꯨꯡ
ꯄꯣꯠꯂꯝꯁꯤꯡꯗꯥ,ꯄꯣꯠ,ꯄꯣꯠ
ꯃꯣꯠꯍꯟꯗꯅꯥ,ꯃꯣꯠ,ꯃꯣꯠ
ꯊꯝꯕꯥ,ꯊꯝ,ꯊꯝ
ꯍꯥꯏꯕꯁꯤ,ꯍꯥꯏ,ꯍꯥꯏ
ꯇꯥꯏꯕꯪ,ꯇꯥꯏ,ꯇꯥꯏꯕꯪ
ꯃꯩꯇꯩꯂꯣꯟꯒꯤ,ꯃꯩ,ꯃꯩ
ꯄꯥꯝꯕꯤꯁꯤꯡꯒꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯏꯕ,ꯏ,ꯕ
ꯅꯣꯛꯄꯥ,ꯅꯣꯛ,ꯅꯣꯛ
ꯃꯇꯧꯁꯤꯡ,ꯇꯧ,ꯇꯧ
ꯑꯩꯗꯤ,ꯑꯩ,ꯑꯩ
ꯇꯧꯔꯕ,ꯇꯧ,ꯇꯧ
ꯄꯥꯝꯕꯤꯅꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯅꯍꯥꯛꯅꯥ,ꯍꯥꯛ,ꯍꯥꯛ
ꯀꯗꯥꯏꯗꯥ,ꯀꯗꯥꯏ,ꯀꯗꯥꯏ
ꯀꯩꯗꯧꯔꯕ,ꯀꯩ,ꯀꯩ
ꯑꯁꯤꯅꯥ,ꯁꯤ,ꯁꯤ
ꯑꯃꯝꯕꯥ,ꯃꯝ,ꯃꯝ
ꯃꯌꯥꯏꯗꯥ,ꯌꯥꯏ,ꯌꯥꯏ
ꯉꯥꯡꯂꯤꯕꯥ,ꯉꯥꯡ,ꯉꯥꯡ
ꯅꯤꯡꯊꯤ,ꯅꯤꯡ,ꯅꯤꯡ
ꯅꯤꯡꯊꯧꯅꯤ,ꯅꯤꯡ,ꯅꯤꯡꯊꯧ
ꯃꯍꯥꯛꯅꯥ,ꯍꯥꯛ,ꯍꯥꯛ
ꯃꯗꯨꯗꯤ,ꯗꯨ,ꯗꯨ
ꯄꯥꯝꯕꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯅꯤꯡꯊꯤꯅꯥ,ꯅꯤꯡ,ꯅꯤꯡ
ꯂꯣꯏꯅꯕꯔꯥ,ꯂꯣꯏ,ꯂꯣꯏ
ꯁꯤꯡꯅꯥ,ꯁꯤꯡ,ꯁꯤꯡ
ꯃꯇꯧ,ꯇꯧ,ꯇꯧ
ꯈꯪꯗꯕꯔꯥ,ꯈꯪ,ꯈꯪ
ꯈꯪꯗꯣꯛꯅꯥ,ꯈꯪ,ꯈꯪ
ꯂꯩꯕꯒꯤꯗꯃꯛ,ꯂꯩ,ꯂꯩ
ꯇꯣꯉꯥꯟ,ꯇꯣ,ꯇꯣ
ꯎꯠꯂꯤꯕꯅꯤ,ꯎꯠ,ꯎꯠ
ꯄꯥꯝꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ,ꯄꯥꯝ,ꯄꯥꯝ
ꯑꯗꯨꯝ,ꯗꯨꯝ,ꯗꯨꯝ
ꯂꯩ,ꯂꯩ,ꯂꯩ
ꯍꯥꯏꯔꯤꯕꯥ,ꯍꯥꯏ,ꯍꯥꯏ
ꯈꯪꯅꯕꯥ,ꯈꯪ,ꯈꯪ
ꯉꯝꯕꯥ,ꯉꯝ,ꯉꯝ
ꯂꯧꯕꯥ,ꯂꯧ,ꯂꯧ
ꯍꯧꯔꯛꯄꯥ,ꯍꯧ,ꯍꯧ
ꯅꯤꯡꯊꯤꯕꯥ,ꯅꯤꯡ,ꯅꯤꯡ
ꯌꯥꯏꯕꯤ,ꯌꯥꯏ,ꯌꯥꯏ
ꯃꯗꯨꯗꯒꯤ,ꯗꯨ,ꯗꯨ
ꯃꯈꯣꯏꯒꯤ,ꯈꯣꯏ,ꯈꯣꯏ
ꯂꯧꯁꯤꯡꯒꯤ,ꯂꯧ,ꯂꯧ
ꯂꯤꯊꯣꯛꯔꯛꯏ,ꯂꯤ,ꯂꯤ
ꯉꯝꯂꯤꯕꯥ,ꯉꯝ,ꯉꯝ
ꯀꯅꯥ,ꯀꯅꯥ,ꯀ
ꯂꯥꯛꯄꯥ,ꯂꯥꯛ,ꯂꯥꯛ
ꯃꯇꯝꯗꯥ,ꯇꯝ,ꯇꯝ
ꯅꯥꯄꯤꯁꯤꯡ,ꯅꯥ,ꯅꯥ
ꯅꯥꯄꯤ,ꯅꯥ,ꯅꯥ
ꯀꯣꯏꯁꯤꯟꯕꯁꯤꯡꯅꯥ,ꯀꯣꯏ,ꯀꯣꯏ
ꯃꯈꯣꯏꯒꯤꯗꯃꯛ,ꯈꯣꯏ,ꯈꯣꯏ
ꯃꯇꯧꯗꯨ,ꯇꯧ,ꯇꯧ
ꯃꯇꯧꯅꯤ,ꯇꯧ,ꯇꯧ
ꯌꯥꯏ,ꯌꯥꯏ,ꯌꯥꯏ
ꯃꯁꯤ,ꯁꯤ,ꯁꯤ
ꯈꯪꯉꯨ,ꯈꯪ,ꯈꯪꯉꯨ
ꯃꯗꯨꯕꯨ,ꯗꯨ,ꯗꯨ
ꯑꯉꯥꯡꯁꯤꯡꯅꯥ,ꯉꯥꯡ,ꯉꯥꯡ
ꯂꯥꯏꯔꯤꯛ,ꯂꯥꯏ,ꯂꯥꯏ
ꯇꯝꯂꯕꯥ,ꯇꯝ,ꯇꯝ
ꯃꯗꯨꯗꯥ,ꯗꯨ,ꯗꯨ
ꯃꯁꯤꯅꯥ,ꯁꯤ,ꯁꯤ
ꯅꯍꯥꯛꯀꯤ,ꯍꯥꯛ,ꯍꯥꯛ
ꯄꯥꯝꯕꯤꯁꯤꯡ,ꯄꯥꯝ,ꯄꯥꯝ
ꯎꯠꯂꯕꯥ,ꯎꯠ,ꯎꯠ
ꯄꯥꯝꯕꯤꯅꯥ,ꯄꯥꯝ,ꯄꯥꯝ
ꯃꯍꯥꯛꯀꯤ,ꯍꯥꯛ,ꯍꯥꯛ
ꯎꯠꯂꯛꯄꯥ,ꯎꯠ,ꯎꯠ
ꯂꯧꯁꯤꯡ,ꯂꯧ,ꯂꯧ
ꯃꯁꯛ,ꯁꯛ,ꯁꯛ
ꯃꯈꯣꯏꯕꯨ,ꯈꯣꯏ,ꯈꯣꯏ
ꯑꯁꯤꯅꯤ,ꯁꯤ,ꯁꯤ
ꯀꯅꯥꯒꯤꯗꯃꯛ,ꯀꯅꯥ,ꯀ
ꯂꯩꯕꯥ,ꯂꯩ,ꯂꯩ
ꯑꯉꯥꯡꯒꯤ,ꯑꯉꯥꯡ,ꯉꯥꯡ
ꯃꯤꯑꯣꯢꯕꯥꯅꯥ,ꯃꯤ,ꯃꯤ
ꯍꯣꯠꯅꯥꯕꯥ,ꯍꯣꯠ,ꯍꯣꯠ
ꯃꯄꯥꯡ,ꯄꯥꯡ,ꯄꯥꯡ
ꯀꯩꯊꯦꯜ,ꯀꯩ,ꯀꯩꯊꯦꯜ
ꯇꯥꯏ,ꯇꯥꯏ,ꯇꯥꯏ
ꯃꯤꯑꯣꯢꯕꯥ,ꯃꯤ,ꯃꯤ
ꯍꯤꯡꯅꯥꯕꯥꯒꯤꯗꯃꯛ,ꯍꯤꯡ,ꯍꯤꯡ
ꯆꯥꯛꯄ,ꯆꯥꯛ,ꯆꯥꯛ
ꯍꯤꯡꯅꯥꯕꯥ,ꯍꯤꯡ,ꯍꯤꯡ
ꯂꯥꯟꯅꯥ,ꯂꯥꯟ,ꯂꯥꯟ
ꯂꯧ,ꯂꯧ,ꯂꯧ
ꯑꯗꯨꯕꯨ,ꯗꯨ,ꯗꯨ
ꯃꯇꯝ,ꯇꯝ,ꯇꯝ
ꯇꯥꯕꯒꯤ,ꯇꯥ,ꯇꯥ
ꯂꯩꯇꯥꯗꯦ,ꯂꯩ,ꯂꯩ
ꯇꯥꯕꯅꯤ,ꯇꯥ,ꯇꯥ
ꯄꯨꯊꯣꯛꯄꯥ,ꯄꯨ,ꯄꯨ
ꯃꯇꯦꯡꯅꯥ,ꯇꯦꯡ,ꯇꯦꯡ
ꯅꯨꯡꯉꯥꯢꯕꯥ,ꯅꯨꯡ,ꯅꯨꯡ
ꯑꯇꯣꯞꯄꯥ,ꯇꯣꯞ,ꯇꯣꯞ
ꯃꯄꯥꯟ,ꯄꯥꯟ,ꯄꯥꯟ
ꯃꯊꯧꯅꯥ,ꯊꯧ,ꯊꯧ
ꯄꯨꯊꯣꯛꯄꯥ,ꯄꯨ,ꯄꯨ
ꯍꯤꯡꯕꯥ,ꯍꯤꯡ,ꯍꯤꯡ
ꯁꯨꯝꯖꯤꯠ,ꯁꯨꯝ,ꯁꯨꯝꯖꯤꯠ
ꯇꯧꯕꯥ,ꯇꯧ,ꯇꯧ
ꯄꯨꯝꯅꯥꯃꯛ,ꯄꯨꯝ,ꯄꯨꯝ
ꯑꯣꯏꯅꯥ,ꯑꯣꯏ,ꯑꯣꯏ
ꯇꯧꯕꯅꯤ,ꯇꯧ,ꯇꯧ
ꯁꯨꯝꯕꯜ,ꯁꯨꯝ,ꯁꯨꯝꯕꯜ
ꯁꯦꯟꯕ,ꯁꯦꯟ,ꯁꯦꯟ
ꯁꯨꯝ,ꯁꯨꯝ,ꯁꯨꯝ
ꯒꯥꯔꯤ,ꯒꯥ,ꯒꯥ
ꯊꯧꯕꯁꯤꯡꯅꯥ,ꯊꯧ,ꯊꯧ
ꯅꯣꯡꯂꯤꯛ,ꯅꯣꯡ,ꯅꯣꯡꯂꯤꯛ
ꯅꯨꯡꯉꯥꯢꯅꯥ,ꯅꯨꯡ,ꯅꯨꯡ
ꯄꯥꯝꯅꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯍꯧꯖꯤꯛ,ꯍꯧ,ꯍꯧ
ꯄꯨꯟꯁꯤꯒꯤ,ꯄꯨꯟ,ꯄꯨꯟ
ꯄꯥꯡꯂꯒꯥ,ꯄꯥꯡ,ꯄꯥꯡ
ꯈꯟꯒꯠꯄꯥ,ꯈꯟ,ꯈꯟ
ꯂꯩꯅꯥ,ꯂꯩ,ꯂꯩ
ꯑꯄꯤꯛꯄꯥ,ꯄꯤꯛ,ꯄꯤꯛ
ꯋꯥꯔꯤ,ꯋꯥ,ꯋꯥ
ꯏꯃꯥꯒꯤ,ꯃꯥ,ꯃꯥ
ꯃꯄꯣꯛꯀꯨꯝꯕꯥ,ꯄꯣꯛ,ꯄꯣꯛ
ꯃꯇꯝꯒꯤ,ꯇꯝ,ꯇꯝ
ꯃꯇꯨꯡꯏꯟꯅꯥ,ꯇꯨꯡ,ꯇꯨꯡ
ꯃꯇꯤꯛ,ꯇꯤꯛ,ꯇꯤꯛ
ꯆꯥꯕꯥ,ꯆꯥ,ꯆꯥ
ꯀꯪꯂꯥꯄꯥꯔꯛ,ꯀꯪ,ꯀꯪ
ꯏꯪꯊꯕꯥ,ꯏꯪ,ꯏꯪ
ꯏꯆꯥꯁꯥ,ꯆꯥ,ꯆꯥ
ꯀꯪꯂꯥꯄꯥꯔꯛꯇꯥ,ꯀꯪ,ꯀꯪ
ꯂꯩꯔꯤꯕꯃꯈꯩ,ꯂꯩ,ꯂꯩ
ꯂꯩꯔꯤ,ꯂꯩ,ꯂꯩ
ꯊꯥꯖꯩ,ꯊꯥ,ꯊꯥ
ꯑꯩꯈꯣꯢ,ꯑꯩ,ꯑꯩ
ꯂꯣꯏꯅꯃꯛ,ꯂꯣꯏ,ꯂꯣꯏ
ꯋꯥꯔꯤꯁꯤꯡꯒꯤ,ꯋꯥ,ꯋꯥ
ꯄꯥꯎꯈꯨꯝꯅꯤ,ꯄꯥꯎ,ꯄꯥꯎ
ꯈꯟꯒꯠꯂꯤ,ꯈꯟ,ꯈꯟ
ꯀꯣꯏꯊꯣꯛꯄꯥ,ꯀꯣꯏ,ꯀꯣꯏ
ꯅꯨꯄꯤ,ꯅꯨ,ꯅꯨ
ꯍꯥꯏꯕꯥꯁꯤ,ꯍꯥꯏ,ꯍꯥꯏ
ꯅꯨꯄꯤꯁꯤꯡꯒꯤ,ꯅꯨ,ꯅꯨ
ꯃꯔꯣꯛꯀꯤ,ꯔꯣꯛ,ꯔꯣꯛ
ꯂꯃꯥꯏꯗꯥ,ꯂꯃꯥꯏ,ꯂꯃꯥꯏ
ꯆꯤꯟꯊꯤꯕꯥ,ꯆꯤꯟ,ꯆꯤꯟ
ꯄꯨꯊꯣꯛꯂꯤ,ꯄꯨ,ꯄꯨ
ꯑꯩꯈꯣꯢꯒꯤ,ꯑꯩ,ꯑꯩ
ꯃꯁꯥꯒꯤ,ꯁꯥ,ꯁꯥ
ꯄꯥꯎꯇꯥꯛꯅꯥ,ꯄꯥꯎ,ꯄꯥꯎ
ꯃꯄꯨꯡ,ꯄꯨꯡ,ꯄꯨꯡ
ꯑꯩ,ꯑꯩ,ꯑꯩ
ꯄꯥꯝꯃꯤ,ꯄꯥꯝ,ꯄꯥꯝ
ꯐꯥꯍꯟꯕꯥ,ꯐꯥ,ꯐꯥ
ꯈꯨꯗꯤꯡꯒꯤ,ꯈꯨ,ꯈꯨ
ꯄꯥꯡꯂꯤ,ꯄꯥꯡ,ꯄꯥꯡ
ꯑꯩꯈꯣꯢꯗꯒꯤ,ꯑꯩ,ꯑꯩ
ꯄꯥꯝꯂꯤꯕꯥ,ꯄꯥꯝ,ꯄꯥꯝ
ꯉꯝꯒꯅꯤ,ꯉꯝ,ꯉꯝ
ꯂꯝꯕꯤꯗꯥ,ꯂꯝ,ꯂꯝ
ꯅꯪꯒꯤ,ꯅꯪ,ꯅꯪ
ꯍꯧꯗꯣꯛꯄꯥ,ꯍꯧ,ꯍꯧ
ꯅꯨꯡꯁꯤꯖꯩ,ꯅꯨꯡ,ꯅꯨꯡ
ꯅꯪꯕꯨ,ꯅꯪ,ꯅꯪ
ꯂꯥꯛꯈꯤꯅꯤ,ꯂꯥꯛ,ꯂꯥꯛ
ꯑꯃꯗꯥ,ꯑ,ꯃ
ꯂꯃꯥꯏꯁꯤꯡꯒꯤ,ꯂꯃꯥꯏ,ꯂꯃꯥꯏ
ꯃꯔꯛꯇꯥ,ꯔꯛ,ꯔꯛ
ꯈꯣꯝꯖꯤꯟꯒꯅꯤ,ꯈꯣꯝ,ꯈꯣꯝ
ꯁꯦꯟꯅꯕꯤꯕꯥ,ꯁꯦꯟ,ꯁꯦꯟ
